City,AQI,PM2.5/h,PM10/h,CO/h,NO/h,CO/h,CO8h,SO2/h
阿坝州,99,36,146,1.57,41,27,59,21
阿克苏地区,161,122,188,2.6,89,14,31,17
阿拉善盟,47,27,43,0.47,13,88,93,13
阿勒泰地区,49,14,48,0.75,51,41,53,35
阿里地区,33,8,9,0.4,13,64,64,8
安康,156,118,202,2.63,78,35,62,26
安庆,115,86,126,0.78,63,53,66,17
鞍山,48,33,35,1.47,38,27,45,38
安顺,229,178,275,1.27,62,52,99,101
安阳,143,109,161,1.68,88,8,35,39
白城,46,13,45,0.7,10,53,64,23
百色,192,144,175,1.7,86,36,82,12
白山,54,37,43,0.7,20,49,59,22
白银,127,96,158,1.55,81,13,56,116
保定,93,69,126,1.9,98,11,41,24
宝鸡,189,142,191,1.45,89,15,47,19
保山,56,17,60,0.5,16,70,92,8
包头,94,50,135,2.28,84,5,40,54
巴彦淖尔,127,96,186,1.53,57,14,43,51
巴中,131,99,123,1.3,29,18,16,3
北海,121,91,133,1.2,33,98,120,15
北京,61,43,69,0.98,65,15,37,9
蚌埠,141,107,174,1.1,97,18,47,48
本溪,55,26,58,1.02,37,21,35,36
毕节,196,147,225,1.4,51,97,120,17
滨州,44,18,43,0.7,31,37,52,16
博州,66,40,79,1.9,54,8,24,21
亳州,195,146,226,1.1,57,49,62,31
沧州,61,41,69,0.57,49,27,54,26
长春,58,37,63,0.84,43,21,41,47
常德,171,129,158,1.52,91,53,78,19
昌都,77,46,101,1.95,30,51,66,6
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,96,71,113,1.37,29,37,41,13
长沙,128,97,120,1.12,87,39,72,18
常熟,78,56,104,0.97,87,21,46,24
长治,77,53,102,2.52,75,20,58,83
常州,97,72,121,1.77,101,8,33,33
朝阳,86,63,77,1.3,41,25,54,114
潮州,100,75,125,1.33,39,107,141,23
承德,74,44,95,1.68,50,4,35,36
成都,120,90,128,1.11,74,47,76,9
郴州,89,66,112,1.62,73,61,98,37
赤峰,54,33,56,1.5,32,21,32,31
池州,154,117,178,1.27,96,50,54,25
重庆,224,173,243,1.83,100,9,25,10
崇左,108,80,138,1.25,79,88,163,13
楚雄州,65,38,78,0.95,32,57,80,23
滁州,156,118,182,1.4,153,10,43,22
大连,34,18,33,0.68,33,33,49,19
大理州,72,25,91,0.8,67,37,80,5
丹东,38,14,37,0.98,15,47,51,14
大庆,50,35,42,0.8,39,35,47,14
大同,83,61,99,2.13,58,11,31,101
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,40,15,25,0.4,13,82,79,22
达州,215,164,222,2.24,66,47,47,10
德宏州,71,43,90,1.5,60,27,66,10
德阳,131,99,150,1.23,48,42,77,6
德州,70,43,87,1.2,56,27,46,20
定西,105,78,141,1.25,64,30,50,72
迪庆州,47,7,31,0.55,14,83,93,9
东莞,110,82,115,1.4,120,38,123,22
东营,35,11,34,0.5,30,41,59,13
鄂尔多斯,64,31,76,0.95,50,49,66,31
恩施州,128,97,157,1.65,68,11,59,6
鄂州,78,54,103,1.77,93,26,65,9
防城港,115,86,119,1.13,42,118,119,16
佛山,113,84,128,1.23,123,41,103,22
抚顺,59,41,55,1.2,52,18,44,26
阜新,93,69,57,1.08,38,24,51,53
阜阳,164,124,185,1.07,84,21,63,16
富阳,119,59,185,1.1,49,91,87,18
福州,61,37,70,0.66,33,92,89,8
抚州,121,91,128,0.8,42,61,76,21
甘南州,108,44,164,2.8,78,14,51,35
赣州,80,58,94,1.46,34,112,122,22
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,76,55,75,0.5,10,87,91,18
广安,158,120,171,1.34,31,40,50,9
广元,75,49,97,1.6,69,34,51,23
广州,109,81,132,1.35,153,23,95,22
贵港,139,106,195,1.58,84,53,105,22
桂林,128,97,140,1.13,72,83,128,40
贵阳,157,119,193,1.22,65,66,93,60
果洛州,53,22,33,0.8,20,97,102,21
固原,66,35,80,1.33,76,24,81,17
哈尔滨,66,47,45,0.96,48,38,50,39
海北州,44,18,37,0.5,31,55,86,22
海东地区,51,27,50,1.1,73,9,64,14
海口,78,57,91,0.78,18,122,119,9
海门,63,41,73,0.57,21,60,62,9
海南州,72,39,92,1.6,33,29,65,12
海西州,50,29,49,0.7,11,82,73,19
哈密地区,99,74,84,1.95,36,19,38,4
邯郸,148,113,146,1.68,94,4,26,56
杭州,132,100,169,1.18,98,29,57,17
汉中,206,155,212,3.6,75,27,63,28
鹤壁,114,85,149,1.87,102,13,43,28
河池,117,86,181,1.15,64,37,79,14
合肥,122,92,170,1.53,118,11,39,20
鹤岗,36,12,26,0.47,4,76,70,6
黑河,35,13,23,0.7,5,73,69,9
衡水,77,53,101,1.17,66,14,44,20
衡阳,109,81,117,1.23,64,53,76,43
和田地区,83,43,113,1.85,47,47,63,16
河源,96,71,130,1.5,83,55,116,8
菏泽,215,164,311,2.77,102,14,34,36
贺州,144,110,186,1.55,64,62,121,16
红河州,126,95,114,0.63,22,93,112,10
淮安,148,113,226,1.2,63,36,42,26
淮北,143,109,179,1.33,93,20,43,26
怀化,116,87,135,1.18,67,63,109,26
淮南,163,123,197,1.3,95,18,57,44
黄冈,103,76,112,1.35,89,31,78,15
黄南州,73,49,94,2.0,70,10,49,76
黄山,94,70,120,0.87,37,50,66,8
黄石,109,81,135,1.35,85,14,37,22
呼和浩特,126,95,165,2.38,90,9,33,66
惠州,109,81,136,1.6,101,65,131,13
葫芦岛,68,40,84,1.38,56,14,43,54
呼伦贝尔,45,31,38,0.6,21,38,45,4
湖州,121,91,124,1.23,82,51,63,20
佳木斯,29,14,22,0.34,9,61,57,9
吉安,75,54,86,0.73,35,71,93,23
江门,146,111,167,1.45,122,59,107,25
江阴,126,95,167,0.97,105,13,30,25
胶南,70,37,87,1.05,77,13,47,16
胶州,68,38,83,0.95,66,8,48,25
焦作,115,86,176,1.68,58,42,54,33
嘉兴,113,84,138,1.17,94,24,76,15
嘉峪关,78,24,104,1.35,71,18,46,27
揭阳,108,80,112,1.23,49,89,157,22
吉林,55,36,58,1.0,25,44,52,17
即墨,55,22,57,0.85,43,30,46,19
济南,104,68,155,1.45,82,5,29,47
金昌,64,25,75,0.87,30,64,73,8
晋城,174,131,198,2.02,63,44,57,56
景德镇,94,66,136,1.36,56,11,61,23
荆门,139,98,226,1.74,97,23,69,37
荆州,135,102,176,2.37,116,13,62,52
金华,149,114,140,0.8,82,43,85,20
济宁,170,128,216,1.8,111,8,31,57
金坛,144,110,150,1.6,97,16,70,18
晋中,167,126,270,2.75,94,7,29,131
锦州,67,48,51,1.24,42,27,47,65
九江,81,52,110,0.66,56,49,65,19
酒泉,133,94,214,2.05,83,9,63,27
鸡西,28,15,27,0.33,8,59,54,1
句容,170,128,221,0.5,65,17,62,14
开封,209,158,210,1.97,90,11,53,39
喀什地区,131,99,151,1.75,43,63,59,11
克拉玛依,75,54,89,0.9,29,18,27,8
克州,146,111,130,1.9,24,56,53,3
库尔勒,105,78,120,1.33,20,37,40,9
昆明,86,55,119,1.53,81,22,59,19
昆山,91,57,129,0.95,105,11,43,11
来宾,206,155,168,1.8,57,93,130,43
莱芜,141,107,163,1.43,91,7,45,43
莱西,63,40,74,1.0,38,26,46,23
莱州,62,22,71,1.1,48,17,42,14
廊坊,60,39,67,0.87,57,19,39,10
兰州,159,118,265,5.82,170,9,44,99
拉萨,45,15,40,0.87,31,74,89,6
乐山,120,90,129,1.88,57,61,51,10
凉山州,77,56,75,0.98,33,77,90,15
连云港,40,23,39,0.74,23,60,57,17
聊城,95,70,137,1.13,63,26,45,37
辽阳,68,40,84,1.4,50,14,41,36
辽源,29,20,25,1.0,22,42,50,8
丽江,55,23,58,1.17,33,83,89,12
临安,188,141,259,1.5,115,27,66,17
临沧,71,45,90,1.65,47,44,88,12
临汾,336,285,410,6.3,110,5,19,185
临夏州,223,172,217,4.6,105,20,50,80
临沂,83,60,114,1.55,54,21,32,24
林芝,48,15,47,0.35,8,93,87,4
林芝地区,18,4,16,0.35,6,51,35,3
丽水,138,105,159,1.63,71,35,84,8
六盘水,229,178,248,1.98,71,36,58,48
柳州,143,109,226,2.03,101,36,105,65
溧阳,143,109,167,0.95,90,35,92,19
陇南,184,138,282,4.05,98,4,43,61
龙岩,92,59,132,1.35,89,17,79,24
娄底,79,43,105,1.16,32,90,99,12
六安,103,76,147,0.93,81,37,60,14
漯河,174,131,249,1.27,59,49,68,20
洛阳,122,92,172,1.94,73,30,46,31
泸州,196,147,207,1.53,108,10,37,24
吕梁,189,142,244,3.83,78,12,32,303
马鞍山,133,101,161,1.36,103,25,62,33
茂名,105,78,150,1.3,59,85,124,23
眉山,149,114,137,0.75,63,64,71,13
梅州,110,81,168,1.5,80,36,92,8
绵阳,204,153,193,1.3,58,16,31,7
牡丹江,38,19,37,0.38,8,64,60,6
南昌,75,47,97,1.12,85,31,71,17
南充,136,103,147,1.28,47,39,49,7
南京,137,104,214,1.21,137,12,50,24
南宁,135,102,185,1.76,139,17,92,22
南平,87,64,62,1.02,46,58,94,20
南通,76,55,81,1.08,52,61,74,18
南阳,113,81,173,1.72,66,42,65,31
那曲地区,60,38,67,1.0,19,56,65,7
内江,227,176,241,1.98,100,16,62,26
宁波,75,52,97,0.9,97,14,56,13
宁德,65,46,71,0.63,27,96,98,9
怒江州,101,53,150,1.65,55,21,51,15
盘锦,48,31,47,1.17,50,26,47,33
攀枝花,108,75,163,3.24,103,27,58,44
蓬莱,61,26,70,1.75,32,31,50,11
平顶山,148,113,201,1.3,82,29,50,49
平度,54,20,56,0.65,31,37,54,18
平凉,104,77,151,1.3,91,7,42,44
萍乡,207,156,253,3.18,82,18,66,46
普洱,80,46,107,0.8,30,47,84,6
莆田,58,31,49,0.54,21,105,108,7
濮阳,186,140,182,2.42,100,10,27,41
黔东南州,104,77,134,1.25,105,19,76,28
黔南州,87,64,97,0.7,41,78,74,118
黔西南州,78,42,104,1.65,58,40,81,18
青岛,64,32,75,0.84,56,18,41,13
庆阳,76,55,90,1.03,38,72,78,22
清远,86,63,104,1.17,56,77,116,22
秦皇岛,52,25,52,0.94,47,35,56,31
钦州,138,105,160,1.2,44,109,123,24
齐齐哈尔,43,18,42,0.8,15,56,60,28
七台河,51,18,50,0.4,22,57,55,8
泉州,60,42,60,0.6,27,89,107,10
曲靖,120,90,141,1.1,39,76,108,14
衢州,136,103,176,1.03,87,32,68,31
日喀则,43,19,36,0.85,43,58,85,19
日喀则地区,29,6,27,0.35,2,68,56,5
日照,60,30,67,0.87,40,49,60,11
荣成,35,18,34,0.8,12,58,68,8
乳山,37,18,36,0.7,23,44,60,11
三门峡,178,134,238,2.05,94,6,37,46
三明,72,52,92,1.33,69,26,84,15
三沙,30,7,20,0.3,30,51,58,6
三亚,48,8,14,0.7,11,91,94,1
上海,61,40,70,0.83,92,31,55,17
商洛,102,69,152,1.8,76,13,53,75
商丘,139,106,177,1.4,99,10,48,21
上饶,110,82,163,1.73,81,32,59,59
山南,48,12,24,0.75,13,86,94,4
山南地区,40,5,21,0.45,6,65,79,4
汕头,81,37,66,0.94,29,107,136,13
汕尾,89,44,85,0.87,21,130,145,9
韶关,142,108,188,1.86,108,17,89,21
绍兴,118,82,184,0.99,87,44,72,14
邵阳,175,132,180,1.4,65,64,101,46
沈阳,56,35,60,0.82,51,12,36,31
深圳,113,84,139,1.13,65,93,152,17
石河子,153,116,131,1.45,59,9,16,15
石家庄,97,72,126,1.73,96,7,25,37
十堰,67,43,82,1.4,65,57,68,21
石嘴山,184,138,197,2.78,85,18,49,127
寿光,52,25,51,0.85,37,39,51,22
双鸭山,30,14,20,0.35,6,63,58,10
朔州,75,54,88,1.18,61,25,67,77
四平,69,49,74,0.97,33,32,42,69
松原,58,35,64,1.55,39,28,51,23
绥化,30,6,18,0.75,22,57,58,8
遂宁,148,113,164,1.23,35,43,40,6
随州,133,101,147,1.83,101,16,64,22
宿迁,149,114,170,1.02,64,31,50,18
苏州,99,74,137,1.25,133,9,44,17
宿州,144,110,207,1.57,121,17,54,36
塔城地区,54,16,55,3.0,50,39,57,4
泰安,131,99,159,1.83,65,32,46,58
太仓,96,71,133,0.7,95,17,63,16
太原,171,129,226,2.23,103,9,22,89
台州,88,65,118,0.93,33,88,107,11
泰州,124,93,160,1.18,69,42,58,20
唐山,61,40,70,3.7,62,18,42,29
天津,44,18,43,0.94,54,28,45,16
天水,175,132,222,2.43,76,32,52,53
铁岭,117,88,103,0.78,46,24,40,24
铜川,251,200,295,2.6,109,10,46,88
通化,34,18,33,0.75,17,58,64,10
通辽,38,26,37,0.43,13,43,51,12
铜陵,144,110,175,1.38,86,44,48,20
铜仁地区,163,82,274,1.6,59,43,57,29
吐鲁番地区,232,181,221,3.9,98,7,31,37
瓦房店,58,40,57,0.85,50,14,41,47
潍坊,65,32,78,0.78,38,31,52,17
威海,33,12,27,0.4,16,60,65,9
渭南,199,149,288,1.95,110,4,33,41
文登,42,22,41,0.8,35,37,56,8
文山州,104,77,123,0.8,23,91,94,4
温州,110,82,168,0.83,70,73,91,17
乌海,120,75,188,1.8,82,11,34,127
武汉,157,116,261,2.16,138,13,43,20
芜湖,178,134,179,1.35,113,19,49,20
吴江,126,65,200,1.53,119,18,61,17
五家渠,109,81,125,1.9,47,5,16,18
乌兰察布,55,38,57,0.9,45,54,73,32
乌鲁木齐,117,88,142,2.31,49,16,25,14
武威,94,48,135,1.5,66,28,67,14
无锡,138,105,195,1.85,113,10,50,20
吴忠,131,99,157,1.77,84,13,38,55
梧州,160,88,268,4.4,117,25,96,21
厦门,63,35,73,0.63,32,68,80,8
西安,208,157,235,2.13,118,8,24,38
湘潭,143,109,154,0.99,82,52,81,22
湘西州,103,75,154,0.53,50,27,66,11
襄阳,143,109,183,1.4,101,25,57,27
咸宁,104,68,156,1.27,81,22,71,9
咸阳,205,154,254,2.08,118,8,24,39
孝感,109,81,127,3.15,107,21,77,17
锡林郭勒盟,27,8,25,0.3,15,45,52,0
兴安盟,30,10,18,0.47,9,54,59,8
邢台,115,86,138,2.08,95,7,31,47
西宁,77,51,102,3.63,92,7,42,34
新乡,122,92,155,1.6,92,20,57,39
信阳,132,100,181,1.45,60,58,80,23
新余,108,80,143,1.58,84,15,55,39
忻州,168,127,199,2.27,76,15,17,121
西双版纳州,73,49,94,1.45,52,32,71,11
宣城,177,133,245,1.23,118,33,65,20
许昌,126,95,178,1.87,58,47,66,27
徐州,182,137,246,1.54,107,14,45,38
雅安,117,88,121,1.15,53,82,77,7
延安,128,97,186,3.53,100,12,38,86
延边州,42,17,31,0.8,10,80,82,12
盐城,97,72,140,1.04,66,38,62,18
阳江,128,97,141,1.6,66,94,124,25
阳泉,114,85,145,1.73,86,13,34,58
扬州,128,97,191,1.23,84,30,54,22
烟台,32,12,31,0.55,37,36,52,12
宜宾,209,158,209,2.02,117,16,61,27
宜昌,193,145,271,2.04,121,17,68,16
宜春,106,79,128,1.88,92,23,85,43
伊春,30,14,19,0.2,4,64,59,8
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,92,68,117,2.87,71,4,12,59
银川,104,77,136,2.09,79,38,64,110
营口,72,52,69,0.57,52,19,48,30
鹰潭,108,80,148,0.76,75,28,79,31
义乌,158,120,197,1.3,112,24,67,18
宜兴,153,116,146,1.25,135,10,74,23
益阳,128,97,175,2.06,76,46,86,23
永州,160,121,172,0.95,68,90,119,29
岳阳,98,73,108,1.07,67,34,64,18
玉林,110,82,125,1.17,48,91,125,19
榆林,75,53,97,1.9,83,22,40,60
运城,172,130,225,4.16,118,13,43,225
云浮,82,60,95,0.97,47,74,112,17
玉树州,39,10,34,0.8,24,56,76,39
玉溪,94,60,135,1.53,58,37,68,19
枣庄,164,124,260,1.4,79,21,50,38
张家港,112,48,172,0.6,63,38,53,10
张家界,108,80,134,2.08,52,61,96,11
张家口,72,49,91,1.68,56,20,44,36
章丘,88,47,123,0.85,51,17,41,25
张掖,116,87,95,1.7,63,38,63,30
漳州,78,55,104,0.73,58,83,112,10
湛江,115,86,121,1.07,43,134,145,16
肇庆,100,75,122,1.3,88,66,110,22
昭通,163,123,179,1.5,57,46,81,49
招远,55,38,54,1.25,33,27,40,9
郑州,165,125,173,1.4,73,33,63,29
镇江,147,112,184,1.13,118,8,52,29
中山,131,99,137,1.68,128,48,142,19
中卫,93,69,126,1.53,78,24,50,37
周口,278,227,307,1.7,64,41,58,21
舟山,52,27,52,0.93,28,58,81,7
珠海,126,95,145,0.98,83,106,171,14
诸暨,0,0,0,0.0,0,0,0,0
驻马店,157,119,195,1.27,64,53,67,23
株洲,164,124,201,1.19,105,24,70,26
淄博,65,38,77,1.5,61,16,41,46
自贡,267,216,274,2.2,84,81,95,15
资阳,130,98,167,1.2,42,58,69,7
遵义,181,136,182,1.4,77,54,100,40
